Now loading data using DB:  etcd
core
Using request distribution 'uniform' a keyrange of [0 99999]
***************** properties *****************
"etcd.endpoints"="192.168.37.14:2379"
"insertproportion"="0"
"readallfields"="true"
"threadcount"="8"
"dotransactions"="true"
"operationcount"="50000"
"readproportion"="0.5"
"recordcount"="100000"
"measurementtype"="raw"
"docollectingdata"="false"
"command"="run"
"workload"="core"
"etcd.dial_timeout"="10s"
"requestdistribution"="uniform"
"scanproportion"="0"
"updateproportion"="0.5"
**********************************************
**********************************************
Run finished, takes 3m30.714394972s
operation,timestamp_us,latency_us
TOTAL,1716265693041038,23205
TOTAL,1716265693041671,23245
TOTAL,1716265693040113,44730
TOTAL,1716265693040123,44840
TOTAL,1716265693040119,44873
TOTAL,1716265693062643,23219
TOTAL,1716265693064933,23031
TOTAL,1716265693064254,43134
TOTAL,1716265693062583,44822
TOTAL,1716265693062506,44937
TOTAL,1716265693084859,23179
TOTAL,1716265693085015,23229
TOTAL,1716265693084981,23440
TOTAL,1716265693085876,23062
TOTAL,1716265693087974,41983
TOTAL,1716265693107463,23161
TOTAL,1716265693107405,23323
TOTAL,1716265693107422,23377
TOTAL,1716265693108055,23045
TOTAL,1716265693108441,22949
TOTAL,1716265693108257,44203
TOTAL,1716265693108953,43582
TOTAL,1716265693130750,23364
TOTAL,1716265693131402,43515
TOTAL,1716265693130813,44134
TOTAL,1716265693129969,45004
TOTAL,1716265693131112,43866
TOTAL,1716265693130639,44386
TOTAL,1716265693152476,23101
TOTAL,1716265693152555,23125
TOTAL,1716265693154125,43149
TOTAL,1716265693174996,23192
TOTAL,1716265693174959,44770
TOTAL,1716265693175039,44724
TOTAL,1716265693174928,44855
TOTAL,1716265693175591,44192
TOTAL,1716265693174985,44802
TOTAL,1716265693175695,44119
TOTAL,1716265693197294,23347
TOTAL,1716265693198209,23233
TOTAL,1716265693219746,23313
TOTAL,1716265693219798,23731
TOTAL,1716265693219803,23745
TOTAL,1716265693219808,23890
TOTAL,1716265693219790,23933
TOTAL,1716265693220661,23125
TOTAL,1716265693221459,23137
TOTAL,1716265693219834,46224
TOTAL,1716265693243801,23103
TOTAL,1716265693243737,23498
TOTAL,1716265693243716,23535
TOTAL,1716265693244617,23043
TOTAL,1716265693243563,44892
